,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-04-26,24.24,22.96398,25.694569,41.671345,57.0,24.383352,76.692001,19.045767,49.42738,21.58012,37.209999,15.228251,15.92,39.049999,21.592113,16.915001,19.485153,15.44418,13.316019,24.866217,10.86356,44.220001,68.307274,10.88,21.311666,13.277232,33.139999,24.305,43.478024,7.940844
2013-04-29,24.290001,23.171389,25.59096,42.120373,58.09,24.545513,78.143921,19.152821,49.660393,21.931995,36.5,15.37919,15.96,39.169998,21.865202,17.155001,19.638206,15.837721,13.573178,25.256313,10.891212,43.57,68.727242,11.0,21.44875,13.400784,33.02,24.48,43.155617,7.923524
2013-04-30,24.27,23.270943,26.156096,42.30584,58.490002,24.443096,78.480461,19.152821,49.971066,22.007711,35.990002,15.471436,15.71,38.5,22.138298,17.514999,19.839085,15.885715,13.830332,25.421356,10.914917,43.299999,69.820938,11.0,21.412193,13.600374,33.84,24.34,43.127171,7.949504
2013-05-01,23.139999,23.254349,25.732241,40.704975,57.25,23.589632,77.518929,18.733545,49.369122,21.094618,36.290001,14.934756,17.809999,37.75,21.451157,17.309999,19.073837,15.137025,13.222508,25.216305,10.590984,43.209999,69.077217,10.77,20.745064,13.305744,33.689999,23.635,42.05563,7.793629
2013-05-02,23.459999,23.619387,26.156096,41.690868,57.900002,23.948084,78.643921,18.876278,50.835152,21.393044,36.060001,15.11924,17.59,37.959999,21.953302,17.5,19.446896,15.348192,13.339397,25.926481,10.75295,45.630001,69.32222,10.77,21.046644,13.818968,33.889999,24.305,41.828049,7.897548
2013-05-03,24.549999,23.951235,26.909597,42.393692,61.259998,24.340681,65.384354,19.108212,51.631268,22.056709,36.25,15.37919,17.83,38.470001,20.887348,17.35,20.039965,15.972101,13.619932,26.466618,11.088732,48.09,70.897118,10.78,21.174583,13.961529,34.82,26.115,42.396999,8.053417
2013-05-06,24.73,23.528128,26.919012,41.95443,60.189999,24.528444,66.134354,19.197838,52.174961,22.413033,36.310001,15.580443,18.51,38.810001,21.054729,17.33,19.963434,15.924111,13.816305,26.276569,11.112436,48.759998,71.562088,10.79,21.357359,14.085082,35.48,26.35,42.548729,7.932183
2013-05-07,25.309999,23.934641,27.116812,42.227749,59.970001,25.117329,65.547813,19.269543,52.6604,23.335033,36.919998,15.899098,18.459999,39.189999,21.389492,17.514999,20.317364,16.08729,13.942546,26.176544,11.27835,49.189999,73.215736,10.93,21.722918,14.493758,35.880001,26.48,43.364231,7.9928
2013-05-08,25.4,24.017603,27.28635,42.296078,61.509998,24.97224,64.922829,19.269543,52.573025,23.090054,37.169998,15.756544,18.559999,39.610001,21.636156,17.629999,19.686031,16.269663,13.66201,26.63666,11.337607,49.57,73.47821,10.75,21.923965,13.657397,35.900002,26.99,43.639233,8.053417
2013-05-09,25.299999,23.627678,27.220413,42.188702,60.82,24.7162,64.499756,19.188877,52.378845,22.943071,37.0,15.647532,18.219999,39.509998,21.821157,17.57,19.982569,16.173676,13.619932,26.261566,11.36921,48.630001,73.390732,11.37,21.45789,13.372272,35.990002,26.764999,43.165104,8.044759
