,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
03FEB2014,61.641964,77.974243,109.839478,81.046898,18.911282,93.594376,66.234039,39.118111,21.150276,150.978104,68.570763,150.105988,21.07271,77.239937,48.968928999999996,32.466384999999995,81.688499,111.49646000000001,45.567368,32.754818,32.92606,26.275570000000002,66.705772,72.869461,66.08672299999999,99.64408900000001,38.634636,38.634636,64.944519,77.978317
04FEB2014,62.534275,79.047028,108.91136200000001,81.117065,19.130674,93.33329,67.23716,39.354446,21.341368,152.810715,68.461174,150.053909,20.958326,77.09751899999999,49.54599,32.710762,81.749962,114.03414199999999,46.818531,32.638092,32.754181,26.996853,67.04943100000001,72.95118000000001,65.87185699999999,98.68528,38.975945,38.975945,65.00709499999999,77.952362
05FEB2014,63.001343000000006,78.78355400000001,108.340218,80.643517,19.288629999999998,92.230103,67.909058,39.258163,21.297935,151.544876,68.72600600000001,151.26937900000001,20.891712,77.68495899999999,49.780415000000005,32.824215,82.18029,114.610069,46.836037,32.162212,32.795986,26.537956,67.36666899999999,73.03290600000001,66.161461,97.608887,38.867733,38.867733,65.13221,77.571342
06FEB2014,65.72921,80.637367,109.47358700000001,82.28340899999999,19.736183,93.703835,71.505135,39.905899,21.671432,152.801361,69.547874,152.47396899999998,21.309186999999998,78.993347,50.925521999999994,33.190781,83.37460300000001,115.995888,47.046021,32.485458,33.218719,26.702477000000002,67.763199,73.259888,66.208168,99.00185400000001,38.859406,38.859406,65.087517,78.312607
07FEB2014,66.648735,81.870132,113.355621,83.195427,19.894142000000002,94.36069499999999,71.609215,39.914658,21.879896,152.971344,69.812675,154.72612,21.504604,80.141541,51.051758,33.120953,84.235237,117.282753,47.920978999999996,32.826653,33.766865,27.031492,68.124481,73.432373,66.665939,100.159676,38.967621,38.967621,65.918762,78.99282099999999
10FEB2014,67.84275799999999,83.131126,113.48056799999999,82.870949,20.03455,94.05753299999999,72.92462900000001,40.124736999999996,21.758287,152.092819,69.776169,154.63011200000003,21.575665,81.058296,51.159962,33.662052,83.304344,116.715805,48.025967,33.042141,33.757576,27.247952,68.758949,74.767014,65.152519,100.946632,39.050869,39.050869,65.927696,78.068428
11FEB2014,68.736641,83.35697900000001,116.157867,83.274353,19.929247,95.649178,73.61545600000001,41.000060999999995,22.08836,155.295242,70.040962,156.864807,21.735554,82.74942800000001,51.782101000000004,33.723156,83.725876,117.867668,48.73468,33.374359000000005,34.366116,27.602943,69.47270999999999,75.54782900000001,65.97464000000001,102.176796,39.30061,39.30061,66.857277,79.219559
12FEB2014,68.731522,83.771011,114.991165,84.335442,20.052103,95.18186999999999,73.729027,40.588654,22.053612,154.454483,70.57061,157.336197,21.806618,82.259911,51.863255,33.609695,83.330704,118.153015,48.122211,33.64373,34.42651,27.369165000000002,68.283096,74.68531800000001,65.619629,102.54960600000001,39.433796,39.433796,67.000282,79.428864
13FEB2014,69.822914,83.65810400000001,116.22065,84.282829,19.543121,95.589691,73.719551,40.527382,22.097044,154.98353600000002,70.853699,158.73286399999998,21.939852,82.384506,52.32309,33.731884,83.831261,117.88125600000001,48.209709000000004,33.769428000000005,34.779540999999995,27.447096000000002,68.55629,75.248222,66.525818,103.022446,39.383858000000004,39.383858000000004,67.357796,79.734085
14FEB2014,69.766502,83.752205,116.812996,84.668686,19.797613000000002,96.413818,74.97818000000001,40.886265,22.35762,154.662323,71.164185,160.347778,21.993145000000002,82.562538,52.431290000000004,33.97625,84.112289,119.674751,48.507197999999995,33.778403999999995,34.872452,27.654896,69.966164,76.283249,68.683853,103.540741,38.717884000000005,38.717884000000005,67.742142,82.071251
18FEB2014,70.022995,83.771011,117.23478700000001,84.677452,19.665982999999997,95.759613,75.30941800000001,40.947540000000004,22.279448000000002,155.540863,70.83543399999999,159.911301,21.993145000000002,82.037376,52.737854000000006,32.702034000000005,84.323044,119.384918,48.725918,33.850773,34.937484999999995,27.602943,68.706062,76.60100600000001,68.973473,103.422539,38.276684,38.276684,67.33099399999999,82.036392
19FEB2014,68.917488,83.60163100000001,115.22449499999999,84.370514,19.551899,96.51576999999999,74.637505,40.649929,22.062298000000002,154.227768,69.812675,159.701797,21.762201,81.565651,51.628815,32.379115999999996,83.910301,118.261703,48.157219,33.932194,34.756313,27.256611,68.855873,76.274185,68.71189100000001,103.695313,38.734528000000005,38.734528000000005,66.901962,81.931709
20FEB2014,68.11977399999999,83.761635,116.274498,84.99314100000001,19.569447,97.365379,74.94032299999999,41.26265,22.009726999999998,155.399155,70.753258,160.845322,21.975378,82.224304,51.917347,32.553661,84.08593,119.167519,48.830929,34.1493,35.109359999999995,27.317213,68.662003,76.09258299999999,68.646484,104.61369300000001,40.058147,40.058147,65.713196,83.170067
21FEB2014,67.36308299999999,83.51694499999999,115.12576299999999,85.50177,19.420267000000003,95.734131,75.829887,41.105087,21.852018,155.399155,70.990685,159.56213400000001,21.691135,82.04499799999999,51.944393,32.448935999999996,84.700661,119.17656699999999,49.023410999999996,34.357365,35.527443,27.239292,68.706062,76.074432,68.95478100000001,104.91375,39.350552,39.350552,65.35566700000001,82.873573
24FEB2014,67.65808100000001,84.61796600000001,116.301422,85.343925,19.411493,96.98305500000001,76.39768199999999,41.096336,22.15868,157.32634,71.109413,160.13828999999998,21.877668,81.677437,52.32309,32.728214,84.74458299999999,119.747215,49.154655,34.095028000000006,36.159203000000005,27.698183,68.609131,75.75664499999999,71.010071,105.923073,38.484798,38.484798,65.56124100000001,84.10321
25FEB2014,66.953979,84.608551,113.779579,84.545914,19.165775,97.679726,75.905586,41.332679999999996,22.141157,154.43559299999998,73.949387,159.946213,21.868788000000002,81.677437,51.421432,32.963856,84.849953,120.408447,48.918415,33.959334999999996,36.284626,27.611603000000002,68.838249,75.665848,70.365463,105.377502,38.534737,38.534737,65.56124100000001,83.989838
